Time(s)	Velocity_X(km/s)	Position_X(km)
48.888888888888886	-0.0002613973057077954	7099.99359959296
49.0	-0.0002619884156018658	7099.993570515957
49.0	-0.00026198841555496403	7099.993570515724
49.2	-0.00026305240135075927	7099.993518118041
49.3	-0.00026358434557037025	7099.993491679803
49.8	-0.0002662440126402286	7099.993359222787
49.888888888888886	-0.00026671681407090385	7099.99333553581
50.0	-0.0002673078037996186	7099.993305867757
50.0	-0.00026730780375277543	7099.993305867524
50.2	-0.0002683715732583314	7099.993252405963
50.3	-0.0002689034093628275	7099.993225435835
50.8	-0.0002715625358903917	7099.993090319423
50.888888888888886	-0.00027203524124206274	7099.993066159692
51.0	-0.0002726261108794836	7099.993035900709
51.0	-0.000272626110832699	7099.993035900477
51.2	-0.00027368966418132086	7099.992981375254
51.3	-0.00027422139223733	7099.992953873344
51.8	-0.00027687997855571243	7099.992816098075
51.888888888888886	-0.0002773525878875848	7099.992791465686
52.0	-0.00027794333750771276	7099.992760615895
52.0	-0.0002779433374609867	7099.9927606156625
52.2	-0.00027900667478587	7099.992705026995
52.3	-0.00027953829485996546	7099.99267699341
52.8	-0.00028219634130200474	7099.992536559826
52.888888888888886	-0.0002826688546732356	7099.992511454876
53.0	-0.00028325948435001084	7099.9924800143945
53.0	-0.0002832594843033432	7099.992480014162
53.2	-0.00028432260573757435	7099.992423362265
53.3	-0.0002848541178962745	7099.992394797114
53.8	-0.0002875116247945362	7099.992251705752
53.888888888888886	-0.0002879840422642341	7099.992226128337
54.0	-0.0002885745520715361	7099.992194097285
54.0	-0.00028857455202492674	7099.9921940970535
54.2	-0.0002896374577014827	7099.992136382143
54.3	-0.0002901688620112516	7099.992107285534
54.8	-0.00029282582969802814	7099.991961536935
54.888888888888886	-0.00029329815132525294	7099.99193548715
55.0	-0.00029388854133690056	7099.991902865649
55.0	-0.0002938885412903495	7099.991902865417
55.2	-0.0002949512313420982	7099.991844087708
55.3	-0.0002954825278693452	7099.991814459749
55.8	-0.0002981389566766563	7099.991666054452
55.888888888888886	-0.00029861118252041957	7099.9916395323935
56.0	-0.0002992014528101711	7099.991606320562
56.0	-0.00029920145276367824	7099.99160632033
56.2	-0.00030026392732337845	7099.99154648004
56.3	-0.00030079511613445846	7099.991516320837
56.8	-0.00030345100639405146	7099.9913652593805
56.888888888888886	-0.0003039231365133163	7099.991338265144
57.0	-0.00030451328715486945	7099.991304463102
57.0	-0.00030451328710843475	7099.99130446287
57.2	-0.0003055755463087364	7099.991243560213
57.3	-0.00030610662746994986	7099.991212869876
57.8	-0.00030876197951329996	7099.991059152798
57.888888888888886	-0.0003092340139669811	7099.991031686479
58.0	-0.0003098240450339732	7099.990997294346
58.0	-0.00030982404498759654	7099.990997294114
58.2	-0.0003108860889610407	7099.990935329305
58.3	-0.00031141706253863375	7099.990904107941
58.8	-0.0003140718766969442	7099.99074773578
58.888888888888886	-0.000314543815543908	7099.9907197974735
59.0	-0.0003151337271099159	7099.99068481537
59.0	-0.0003151337270635973	7099.990684815139
59.2	-0.00031619555594261645	7099.990621788394
59.3	-0.0003167264220027808	7099.990590036109
59.8	-0.0003193806986069832	7099.9904310094025
59.888888888888886	-0.00031985254190604784	7099.9904025992055
60.0	-0.0003204423340445882	7099.99036702725
60.0	-0.0003204423339983275	7099.990367027019
60.2	-0.00032150394791524543	7099.990302938552
60.3	-0.0003220347065241185	7099.990270655456
60.8	-0.0003246884459048734	7099.990108974741
60.888888888888886	-0.0003251601937148088	7099.990080092748
61.0	-0.00032574986649933785	7099.99004393106
61.0	-0.000325749866453135	7099.9900439308285
61.2	-0.000326811265540167	7099.989978780855
61.3	-0.00032734191676383215	7099.989945967054
61.8	-0.00032999511925152876	7099.9897816328685
61.888888888888886	-0.00033046677163105665	7099.989752279175
62.0	-0.0003310563251349705	7099.989715527874
62.0	-0.0003310563250888255	7099.989715527643
62.2	-0.00033211750947807853	7099.989649316378
62.3	-0.0003326480533825649	7099.989615971979
62.8	-0.0003353007193073218	7099.989448984859
62.888888888888886	-0.0003357722763151158	7099.989419159562
63.0	-0.00033636171061175046	7099.989381818767
63.0	-0.0003363617105656632	7099.989381818536
63.2	-0.000337422680389136	7099.989314546194
63.3	-0.0003379531170404186	7099.989280671304
63.8	-0.00034060524673208383	7099.989111031787
63.888888888888886	-0.0003410767084267695	7099.98908073498
64.0	-0.0003416660235894008	7099.98904280481
64.0	-0.0003416660235433712	7099.989042804579
64.2	-0.00034272677893295434	7099.988974471375
64.3	-0.0003432571083969541	7099.988940066102
64.8	-0.0003459087021851056	7099.988767774723
64.88888888888889	-0.00034638006862526045	7099.988737006502
65.0	-0.0003469692647271042	7099.988698487076
65.0	-0.00034696926468113224	7099.988698486845
65.2	-0.0003480298057686083	7099.988629092993
65.3	-0.0003485600281111922	7099.988594157444
65.8	-0.00035121108632513783	7099.988419214739
65.88888888888889	-0.0003516823575692914	7099.988387975199
66.0	-0.0003522714346835036	7099.988348866637
66.0	-0.00035227143463758913	7099.988348866406
66.2	-0.00035333176155463264	7099.988278412119
66.3	-0.0003538618768416137	7099.988242946402
66.8	-0.00035651239981039184	7099.988065352907
66.88888888888889	-0.00035698357591702583	7099.988033642143
67.0	-0.0003575725341167024	7099.987993944563
67.0	-0.0003575725340708454	7099.987993944333
67.2	-0.0003586326469490232	7099.987922429826
67.3	-0.0003591626552461606	7099.987886434047
67.8	-0.00036181264329854007	7099.987706190296
67.88888888888889	-0.00036228372432608823	7099.987674008404
68.0	-0.00036287256368426526	7099.987633721925
68.0	-0.0003628725636384657	7099.987633721695
68.2	-0.00036393246260923686	7099.987561147182
68.3	-0.0003644623639822359	7099.987524621449
68.8	-0.0003671118174467166	7099.987341727977
68.88888888888889	-0.00036758280345356483	7099.987309075051
69.0	-0.00036817152404321874	7099.987268199792
69.0	-0.0003681715239974765	7099.987268199562
69.2	-0.0003692312091921926	7099.987194565258
69.3	-0.0003697610037067049	7099.987157509676
69.8	-0.0003724099229115177	7099.986971967018
69.88888888888889	-0.0003728808139560042	7099.9869388431525
70.0	-0.00037346941585005163	7099.986897379233
70.0	-0.00037346941580436666	7099.9868973790035
70.2	-0.00037452888735427166	7099.98682268512
70.3	-0.000375058575075895	7099.986785099798
70.8	-0.00037770696034900237	7099.986596908488
70.88888888888889	-0.0003781777564894175	7099.986563313779
71.0	-0.00037876623976071546	7099.986521261317
71.0	-0.00037876623971508773	7099.986521261087
71.2	-0.00037982549775131833	7099.986445507839
71.3	-0.0003803550787455969	7099.986407392882
71.8	-0.00038300293041469295	7099.986216553452
71.88888888888889	-0.0003834736317092795	7099.986182487995
72.0	-0.00038406199643062545	7099.986139847109
72.0	-0.00038406199638505475	7099.986139846879
72.2	-0.0003851210410386403	7099.98606303448
72.3	-0.0003856505153710647	7099.986024389996
72.8	-0.00038829783376357555	7099.985830902981
72.88888888888889	-0.00038876844027052864	7099.98579636687
73.0	-0.0003893566865146604	7099.985753137678
73.0	-0.0003893566864691468	7099.985753137449
73.2	-0.00039041551787100955	7099.985675266112
73.3	-0.00039094488560701676	7099.985636092206
73.8	-0.0003935916710501009	7099.98543995814
73.88888888888889	-0.000394062182827568	7099.98540495147
74.0	-0.000394650310667164	7099.985361134091
74.0	-0.0003946503106217074	7099.985361133862
74.2	-0.00039570892890266257	7099.9852822038
74.3	-0.00039623819010763616	7099.98524250058
74.8	-0.00039888444292818443	7099.985043719995
74.88888888888889	-0.0003993548600342656	7099.98500824286
75.0	-0.00039994286954194477	7099.984963837413
75.0	-0.00039994286949654516	7099.984963837183
75.2	-0.00040100127478730094	7099.98488384861
75.3	-0.000401530429526571	7099.984843616181
75.8	-0.00040417615005120715	7099.98464218961
75.88888888888889	-0.0004046464725439549	7099.984606242105
76.0	-0.000405234363792277	7099.984561248707
76.0	-0.00040523436374693424	7099.984561248478
76.2	-0.0004062925561780921	7099.984480201605
76.3	-0.0004068216045169353	7099.984439440075
76.8	-0.00040946679307201625	7099.984235368049
76.88888888888889	-0.00040993702100943565	7099.984198950269
77.0	-0.00041052479407090094	7099.98415336904
77.0	-0.000410524794025615	7099.98415336881
77.2	-0.0004115827737276697	7099.984071263852
77.3	-0.0004121117157313094	7099.984029973327
77.8	-0.0004147563726429253	7099.983823256378
77.88888888888889	-0.000415226506082974	7099.983786368417
78.0	-0.0004158141610300237	7099.983740199473
78.0	-0.0004158141609847945	7099.9837401992445
78.2	-0.0004168719280881341	7099.983657036412
78.3	-0.00041740076382174035	7099.983615216998
78.8	-0.00042004488941571513	7099.983405855658
78.88888888888889	-0.0004205149284163035	7099.983368497611
79.0	-0.0004211024653213195	7099.983321741071
79.0	-0.00042110246527614695	7099.983321740843
79.2	-0.0004221600199110531	7099.9832375203505
79.3	-0.0004226887494397428	7099.9831951721535
79.8	-0.0004253323440416342	7099.982983166953
79.88888888888889	-0.00042580228866062527	7099.982945338915
80.0	-0.0004263897075959304	7099.982897994897
80.0	-0.0004263897075508145	7099.982897994668
80.2	-0.0004274470498474624	7099.982812716727
80.3	-0.00042797567323629926	7099.982769839854
80.8	-0.00043061873717139914	7099.982555191324
80.88888888888889	-0.00043108858746660877	7099.982516893388
81.0	-0.00043167588850446685	7099.98246896201
81.0	-0.00043167588845940746	7099.982468961782
81.2	-0.0004327330185478661	7099.982382626604
81.3	-0.00043326153586186063	7099.982339221161
81.8	-0.0004359040694551954	7099.982121929833
81.88888888888889	-0.00043637382548439226	7099.982083162093
82.0	-0.0004369610086970081	7099.982034643473
82.0	-0.00043696100865200514	7099.982034643244
82.2	-0.00043801792666223725	7099.981947251043
82.3	-0.00043854633796634707	7099.981903317135
82.8	-0.0004411883415426778	7099.981683383538
82.88888888888889	-0.0004416580033635833	7099.98164414609
83.0	-0.0004422450688231027	7099.981595040345
83.0	-0.0004422450687781562	7099.981595040117
83.2	-0.0004433017748400185	7099.981506591103
83.3	-0.00044383008019914803	7099.981462128838
83.8	-0.00044647155408297085	7099.981239553502
83.88888888888889	-0.0004469411217532593	7099.981199846438
84.0	-0.00044752806953176944	7099.981150153688
84.0	-0.0004475280694868793	7099.98115015346
84.2	-0.00044858456373012256	7099.981060647846
84.3	-0.0004491127632091234	7099.981015657328
84.8	-0.0004517537077246696	7099.980790440783
84.88888888888889	-0.00045222318130196836	7099.980750264199
85.0	-0.0004528100114714974	7099.980699984559
85.0	-0.00045281001142666354	7099.980699984331
85.2	-0.0004538662939809327	7099.980609422329
85.3	-0.00045439438764460343	7099.980563903664
85.8	-0.00045703480311583993	7099.980336046439
